citric acid,residual sugar,pH,sulphates,alcohol,type
0.3,4.9,3.51,0.45,10.3,0
0.0,1.9,3.47,0.55,9.4,1
0.37,1.5,3.38,0.5,9.8,0
0.24,2.3,3.65,0.72,10.1,0
0.4,2.2,3.33,0.93,11.3,1
0.64,2.4,3.09,0.66,11.8,1
0.0,2.8,3.33,0.6,10.4,1
0.1,1.6,3.55,0.51,12.1,1
0.38,11.8,3.34,0.82,8.9,0
0.29,1.4,3.54,0.6,10.5,0
0.44,3.8,3.06,0.37,11.6,0
0.21,1.7,3.2,0.52,9.5,1
0.35,1.5,3.07,0.72,11.1,0
0.27,9.8,3.31,0.47,9.5,0
0.04,1.5,3.26,0.53,9.6,1
0.38,1.5,3.26,0.82,10.6,1
0.23,3.3,3.1,0.4,12.4,0
0.71,4.4,3.01,0.83,11.8,1
0.49,7.1,3.23,0.34,9.5,0
0.36,2.4,3.25,0.48,10.9,0
0.52,5.0,3.1,0.36,9.0,0
0.3,1.9,3.32,0.71,10.5,1
0.27,4.7,3.16,0.42,12.5,0
0.32,2.1,3.3,0.65,10.0,1
0.38,10.2,3.1,0.43,12.1,0
0.09,2.2,3.42,0.69,11.3,1
0.35,13.5,3.0,0.63,10.7,0
0.3,2.1,3.44,0.52,9.4,1
0.14,2.4,3.43,0.63,9.7,1
0.06,2.1,3.51,0.43,11.4,1
0.13,2.1,3.24,0.53,11.2,1
0.13,1.4,3.29,0.52,10.5,0
0.31,2.6,3.37,0.91,9.9,1
0.19,5.2,3.16,0.52,9.6,1
0.28,5.1,3.16,0.44,11.3,0
0.08,2.5,3.24,0.66,9.6,1
0.27,1.7,2.97,0.48,10.4,0
0.26,1.8,3.07,0.38,9.5,0
0.44,2.8,3.53,0.61,10.5,1
0.37,7.9,3.19,0.48,9.5,0
0.32,2.2,3.3,0.72,11.0,1
0.26,3.3,3.01,0.52,8.8,0
0.3,2.1,3.44,0.52,9.4,1
0.56,2.0,3.24,0.66,9.4,1
0.32,5.8,3.04,0.58,11.2,0
0.15,1.9,3.38,0.62,9.9,0
0.43,2.0,3.08,0.56,12.2,0
0.18,1.5,3.08,0.6,9.3,1
0.42,10.4,3.04,0.44,8.9,0
0.3,2.0,3.16,0.51,11.6,0
0.08,1.9,3.42,0.82,9.5,1
0.38,3.3,3.3,0.73,12.0,1
0.26,1.4,3.34,0.72,9.5,0
0.53,1.8,3.06,1.06,9.1,1
0.1,1.6,3.31,0.65,9.55,1
0.3,2.6,2.99,1.18,10.2,1
0.0,1.8,3.68,0.79,14.0,1
0.21,6.7,3.29,0.63,10.0,0
0.49,4.2,2.92,0.74,11.1,1
0.49,2.9,3.29,0.6,9.8,1
0.39,9.6,3.18,0.35,12.1,0
0.28,8.5,3.22,0.53,10.5,0
0.32,4.2,3.24,0.43,11.3,0
0.31,13.1,3.05,0.53,9.1,0
0.56,1.8,3.3,0.75,10.5,1
0.26,7.2,3.37,0.49,9.4,1
0.23,2.5,3.46,0.65,12.5,1
0.4,8.7,3.2,0.47,10.4,0
0.36,1.8,3.17,0.42,10.0,1
0.26,1.3,3.04,0.74,9.9,0
0.15,2.0,3.3,0.59,12.6,0
0.28,4.3,2.98,0.64,13.1,0
0.08,2.1,3.56,0.77,11.1,1
0.45,1.7,3.25,0.55,12.3,1
0.45,1.5,3.13,0.39,11.0,0
0.02,2.6,3.36,0.62,10.8,1
0.46,1.0,3.15,0.54,12.9,0
0.32,1.8,3.36,0.55,12.8,1
0.4,4.6,3.31,0.37,12.6,0
0.04,3.8,3.34,0.53,9.5,1
0.28,1.6,3.14,0.41,13.3,0
0.4,1.2,3.32,0.47,10.1,0
0.09,1.4,3.12,0.44,10.1,0
0.28,1.1,3.15,0.45,11.0,0
0.34,11.6,3.22,0.4,10.8,0
0.21,2.0,3.33,0.47,9.5,1
0.32,2.2,3.2,0.57,10.0,0
0.4,1.2,3.42,0.43,10.6,0
0.38,2.1,3.17,0.65,11.0,0
0.14,2.8,3.36,0.49,10.7,1
0.21,1.8,3.59,0.66,9.8,1
0.49,2.5,3.39,0.77,11.4,1
0.31,6.4,3.38,0.58,12.2,0
0.0,2.2,3.59,0.68,11.4,1
0.41,2.0,3.45,0.49,10.7,0
0.39,4.7,3.36,0.56,10.3,0
0.29,2.0,3.33,0.61,11.8,0
0.29,2.1,3.33,0.62,9.8,1
0.29,5.6,3.25,0.51,10.5333333333333,0
0.1,1.7,3.41,0.67,9.7,1
0.28,2.0,3.45,0.48,9.4,1
0.32,16.4,3.22,0.42,10.5,0
0.52,2.0,3.18,0.51,9.5,1
0.0,1.8,3.54,0.48,10.9,1
0.21,1.6,3.17,0.91,9.5,1
0.49,2.7,3.16,0.61,10.3,1
0.34,0.7,3.04,0.37,10.5,0
0.32,9.6,3.4,0.41,9.4,0
0.33,12.3,3.36,0.4,9.5,0
0.21,2.1,3.16,0.5,9.5,0
0.22,2.6,3.26,0.61,9.3,1
0.25,1.6,3.22,0.34,12.1,0
0.24,12.1,3.35,0.45,9.5,0
0.3,14.2,3.14,0.46,8.9,0
0.41,8.9,3.29,0.81,10.9,1
0.47,16.9,3.09,0.62,9.3,0
0.27,3.2,2.9,0.69,12.6,0
0.49,1.2,3.38,0.42,12.2,0
0.28,1.0,3.29,0.55,10.65,0
0.26,7.7,3.17,0.45,8.8,0
0.05,1.4,3.56,0.82,12.9,1
0.34,13.7,3.22,0.75,8.9,0
0.67,10.5,3.16,0.44,8.7,0
0.19,5.8,3.14,0.55,9.4,1
0.56,14.5,2.98,0.4,9.1,0
0.36,1.6,3.23,0.66,10.3,0
0.36,1.5,3.24,0.99,12.1,0
0.0,2.0,3.38,0.59,9.8,1
0.24,2.1,3.44,0.58,11.4,1
0.01,1.8,3.32,0.56,10.5,1
0.4,13.1,3.23,0.57,9.0,0
0.04,1.5,3.42,0.6,9.5,1
0.28,2.8,3.24,0.53,10.3,1
0.25,6.65,2.9,0.37,11.1,0
0.24,6.7,3.2,0.41,9.9,0
0.47,2.0,3.36,0.57,9.1,1
0.24,1.7,3.39,0.6,10.6,1
0.49,2.1,3.16,0.63,8.4,1
0.63,11.1,3.08,0.44,8.8,0
0.39,2.2,3.26,0.65,10.2,1
0.24,2.8,3.24,0.67,9.9,1
0.41,1.7,3.15,0.69,11.4,0
0.32,13.4,3.12,0.47,8.8,0
0.0,1.8,3.68,0.79,14.0,1
0.0,1.9,3.35,0.6,9.7,1
0.64,2.2,3.54,0.66,10.5,1
0.21,2.1,3.25,0.51,9.9,1
0.04,1.7,3.72,0.58,11.4,1
0.66,2.2,3.25,0.57,9.0,1
0.4,6.85,3.03,0.3,11.9,0
0.28,2.0,3.45,0.48,9.4,1
0.33,1.7,3.26,0.4,12.6,0
0.35,5.1,3.18,0.67,12.4,0
0.59,2.6,3.18,0.65,11.0,1
0.28,2.2,3.19,0.48,10.5,0
0.28,1.9,2.93,1.95,9.9,1
0.28,16.55,3.2,0.38,10.5,0
0.23,10.6,3.46,0.28,11.5,0
0.04,1.6,3.4,0.47,9.4,1
0.29,1.1,3.04,0.39,11.45,0
0.2,5.7,3.33,0.43,10.1,0
0.31,2.8,3.22,0.55,10.3,1
0.06,1.3,3.17,0.48,9.8,1
0.22,2.2,3.05,0.63,9.2,1
0.4,6.1,3.21,0.43,12.1,0
0.28,1.9,2.93,1.95,9.9,1
0.33,2.4,3.27,0.81,11.0,1
0.22,2.3,3.41,0.83,11.3,1
0.24,2.2,3.14,0.6,10.2,1
0.21,2.2,3.47,0.77,9.7,1
0.34,1.3,3.14,0.5,9.8,0
0.3,1.8,3.48,0.52,12.5,0
0.37,2.5,3.52,0.8,12.4,1
0.28,8.3,3.36,0.37,11.0,0
0.18,2.4,3.4,0.6,10.3,1
0.26,2.0,3.58,0.57,10.0,0
0.29,1.6,3.21,0.5,9.4,0
0.29,2.8,3.31,0.63,11.3,0
0.49,2.4,3.14,0.61,10.4,1
0.54,2.7,3.25,0.63,9.5,1
0.35,5.3,3.11,0.42,12.2,0
0.29,3.1,3.0,0.6,11.3,0
0.26,1.7,3.15,0.74,9.2,1
0.28,1.8,3.45,0.43,9.2,0
0.49,1.3,3.45,0.57,10.7,0
0.26,17.6,3.11,0.49,8.8,0
0.43,1.7,3.38,0.6,11.9,1
0.34,8.3,3.11,0.52,9.2,0
0.68,1.8,3.02,1.15,9.3,1
0.42,2.4,3.19,0.62,9.5,1
0.45,2.0,2.94,0.66,9.2,1
0.26,1.4,3.32,0.41,12.4,0
0.42,2.0,3.35,0.6,11.4,1
0.38,2.5,3.3,0.47,9.0,1
0.35,1.6,3.24,0.83,11.2,1
0.29,2.6,3.39,0.68,11.0,1
0.24,11.5,3.08,0.56,9.8,0
0.4,7.3,3.21,0.43,11.0,0
0.28,1.3,3.1,0.42,10.7,0
0.74,1.2,3.08,0.82,12.3,0
0.01,1.7,3.57,0.84,12.5,1
0.35,15.3,3.27,0.5,9.6,0
0.07,1.9,3.38,0.52,9.5,1
0.24,2.2,3.57,0.57,11.7,1
0.06,1.6,3.3,0.46,9.4,1
0.32,12.2,3.01,0.54,8.8,0
0.31,2.5,3.1,0.74,9.6,1
0.33,2.4,3.28,0.73,11.8,1
0.46,11.8,2.86,0.47,9.0,0
0.0,1.2,3.39,0.47,10.0,1
0.25,2.0,3.25,0.63,9.2,1
0.37,1.2,3.37,0.55,10.3,0
0.48,2.3,3.17,0.64,10.6,0
0.48,4.0,3.06,0.4,9.3,0
0.28,4.7,3.24,0.56,12.7,0
0.0,2.6,3.3,0.52,9.3,1
0.49,3.1,3.2,0.8,10.2,1
0.21,1.6,3.58,0.66,9.8,1
0.74,13.6,3.03,0.44,8.8,0
0.0,1.9,3.18,0.63,10.4,1
0.1,1.4,3.28,0.61,9.2,1
0.36,2.6,3.4,0.69,11.8,1
0.02,1.9,3.4,0.75,9.8,1
0.49,15.55,3.42,0.36,9.1,0
0.48,2.5,3.12,0.59,9.3,1
0.36,1.9,3.29,0.54,11.3,0
0.0,2.0,3.31,0.6,9.4,1
0.31,1.8,3.18,0.47,9.4,0
0.26,1.9,3.26,0.59,9.7,1
0.35,1.6,2.96,0.36,10.0,0
0.2,11.0,3.16,0.69,9.2,1
0.29,4.3,3.16,0.53,9.4,1
0.61,2.6,3.16,0.69,9.0,1
0.42,2.0,3.44,0.82,11.9,1
0.04,3.0,3.69,0.91,9.4,1
0.27,10.8,3.1,0.5,9.8,0
0.64,2.1,3.21,0.67,10.2,1
0.57,10.4,3.12,0.68,9.0,0
0.35,2.5,3.05,0.56,11.1,0
0.28,1.8,3.15,0.44,9.9,0
0.34,2.7,3.55,0.6,9.5,1
0.1,2.1,3.26,0.5,9.5,1
0.34,11.4,3.21,0.49,10.0,0
0.21,9.65,2.99,0.34,10.9333333333333,0
0.31,13.55,3.2,0.56,11.0,0
0.5,13.8,3.16,0.75,8.8,1
0.37,15.5,3.25,0.77,9.4,0
0.3,14.2,3.14,0.46,8.9,0
0.33,1.3,3.59,0.38,11.0,0
0.32,1.8,3.38,0.72,11.8,1
0.27,4.7,3.16,0.42,12.5,0
0.34,10.7,3.13,0.48,10.6,0
0.02,1.7,3.36,0.54,10.5,1
0.49,4.3,3.3,0.68,12.7,1
0.37,0.9,2.89,0.44,12.7,1
0.28,14.7,2.96,0.39,9.0,0
0.4,2.6,3.22,0.64,10.0,1
0.21,2.5,3.19,0.52,9.2,1
0.17,2.8,3.01,0.46,9.0,0
0.51,14.8,3.06,0.6,9.5,0
0.31,1.7,3.46,0.62,9.5,1
0.06,6.0,3.41,0.59,10.8,1
0.33,2.2,3.41,0.75,11.1,1
0.4,7.5,3.06,0.84,9.7,0
0.0,2.2,3.37,0.46,9.6,1
0.31,1.9,3.24,0.69,10.6,1
0.4,6.3,3.18,0.53,12.0,0
0.04,1.4,3.75,0.48,10.5,1
0.3,1.5,3.44,0.55,11.0,0
0.52,2.2,3.1,0.56,9.0,1
0.16,0.9,3.16,0.42,9.5,0
0.57,1.1,3.12,0.39,9.3,0
0.23,6.3,3.19,0.65,10.0,0
0.35,1.5,3.17,0.64,12.2,0
0.33,1.6,3.44,0.52,10.8,0
0.3,13.0,3.37,0.49,9.4,0
0.26,11.0,3.11,0.49,10.0,0
0.14,3.9,3.32,0.48,9.2,1
0.33,2.3,3.47,0.9,10.2,1
0.2,3.4,3.15,0.41,9.4,0
0.42,1.5,3.04,0.74,12.8,0
0.22,2.1,3.29,0.51,9.2,1
0.4,1.95,3.2,0.45,13.5,0
0.32,1.9,3.32,0.53,11.8,0
0.02,1.8,3.48,0.52,9.5,1
0.3,1.4,3.12,0.5,9.6,0
0.37,12.85,3.05,0.55,10.7,0
0.18,2.1,3.46,0.87,12.9,1
0.43,7.5,3.12,0.47,9.0,0
0.11,2.8,3.31,0.55,9.5,1
0.27,2.0,3.13,0.62,9.1,1
0.05,1.8,3.3,0.44,9.6,1
0.29,4.3,3.16,0.39,10.2,0
0.26,2.1,3.29,0.56,9.8,1
0.0,1.9,3.51,0.56,9.4,1
0.09,2.8,3.43,0.72,11.1,1
0.35,13.5,3.0,0.63,10.7,0
0.34,13.8,3.13,0.4,9.9,0
0.22,4.5,3.24,0.36,9.4,0
0.36,1.3,3.31,0.45,10.8,0
0.31,2.0,3.29,0.69,9.5,1
0.31,8.8,3.38,0.64,10.1,1
0.46,2.1,3.4,0.85,11.0,1
0.3,2.0,3.28,0.9,11.3,1
0.3,1.4,3.29,0.38,11.3,0
0.48,2.5,3.12,0.59,9.3,1
0.45,2.0,2.94,0.66,9.2,1
0.31,1.6,3.35,0.44,11.7,0
0.43,1.6,3.23,0.44,12.6,0
0.74,17.85,2.99,0.41,9.3,0
0.49,2.7,3.16,0.61,10.3,1
0.28,1.8,3.34,0.46,11.4,0
0.2,2.0,3.1,0.43,9.3,1
0.49,1.3,3.46,0.44,10.2,0
0.31,4.8,3.2,0.38,9.3,0
0.38,5.7,3.13,0.62,11.1,0
0.31,1.5,3.06,0.46,10.5,0
0.4,2.7,3.44,0.54,12.2,1
0.3,14.9,3.04,0.54,9.0,0
0.25,1.7,3.25,0.42,11.4,0
0.42,2.8,3.27,0.43,11.8,0
0.35,2.9,3.19,0.4,12.8,0
0.37,1.9,3.12,0.65,11.2,1
0.48,3.8,3.23,0.57,13.2,1
0.12,2.6,3.51,0.72,10.0,1
0.26,2.0,3.21,0.52,9.9,1
0.08,2.1,3.13,0.52,11.0,1
0.36,2.4,3.6,0.46,10.3,0
0.0,2.5,3.49,0.52,9.2,1
0.36,8.9,3.28,0.35,11.95,0
0.26,2.1,3.05,0.74,9.8,0
0.3,1.9,3.39,0.61,9.0,1
0.38,8.3,3.14,0.5,9.6,0
0.35,1.7,3.14,0.59,11.3,1
0.49,1.2,3.13,0.48,9.7,0
0.21,2.2,3.33,0.83,11.1,1
0.36,1.6,3.23,0.52,11.3,0
0.16,5.9,3.09,0.49,9.8,0
0.15,2.1,3.23,0.48,10.0,1
0.49,11.3,3.01,0.43,9.2,0
0.62,7.1,3.14,0.62,10.6,0
0.28,2.1,3.23,0.73,9.7,1
0.3,2.2,2.94,1.62,9.5,1
0.49,7.3,3.13,0.59,10.5,0
0.01,1.8,3.32,0.56,10.5,1
0.36,8.55,3.19,0.22,13.4,0
0.62,11.0,3.16,0.5,8.7,0
0.37,1.2,3.32,0.44,11.2,0
0.22,1.9,3.13,0.55,9.5,1
0.49,2.8,3.14,0.57,11.4,1
0.04,1.3,3.17,0.39,10.2,0
0.3,1.6,3.42,0.51,10.1,0
0.37,15.4,3.18,0.77,9.0,1
0.4,1.5,3.11,0.46,12.2,0
0.63,2.8,3.26,0.74,11.2,1
0.24,1.7,3.39,0.6,10.6,1
0.44,1.4,3.15,0.46,10.0,0
0.68,11.0,2.99,0.38,8.8,0
0.45,4.4,3.13,0.62,11.2,0
0.27,5.0,3.22,0.49,12.2,0
0.15,3.7,3.14,0.58,9.1,1
0.49,3.2,3.19,0.7,10.0,1
0.03,2.0,3.2,0.56,9.6,1
0.09,2.3,3.63,0.63,13.0,1
0.32,5.6,3.38,0.77,10.5,1
0.4,2.9,3.48,0.91,9.7,1
0.37,1.3,3.24,0.37,12.8,0
0.26,12.7,3.26,0.54,10.5,0
0.35,1.6,3.34,0.55,9.2,1
0.49,4.2,2.92,0.74,11.1,1
0.26,1.6,3.32,0.47,9.4,1
0.31,13.1,3.05,0.53,9.1,0
0.4,9.85,2.98,0.56,10.5,0
0.26,2.7,3.38,0.51,12.0,0
0.0,2.9,3.51,0.6,11.5,1
0.07,3.4,3.31,0.71,9.8,1
0.42,2.3,3.38,0.77,12.7,1
0.22,4.1,3.26,0.55,13.0,0
0.34,2.5,3.38,0.62,9.5,1
0.17,7.6,3.13,0.4,8.9,0
0.34,7.7,3.22,0.48,9.7,0
0.44,2.2,3.07,0.84,9.2,1
0.02,2.4,3.54,0.6,11.0,1
0.39,3.3,3.09,0.45,9.2,0
0.0,2.0,3.39,0.52,10.0,1
0.44,1.5,3.35,0.61,10.7,1
0.18,3.8,3.16,0.88,9.2,1
0.36,1.8,3.42,0.69,11.0,0
0.27,4.1,3.27,0.56,11.6,0
0.26,2.0,3.25,0.42,9.6,1
0.32,1.5,3.22,0.39,12.7,0
0.32,4.2,3.24,0.43,11.3,0
0.29,1.0,3.36,0.48,11.4,0
0.36,7.0,3.04,0.32,11.0,0
0.42,2.1,3.11,0.78,12.4,1
0.15,9.7,3.05,0.3,9.1,0
0.46,5.0,3.04,0.53,12.5,0
0.49,1.6,3.65,0.52,9.4,0
0.73,6.55,3.17,0.85,12.0,1
0.34,12.4,3.13,0.39,11.5,0
0.29,5.35,2.93,0.43,11.5,0
0.31,1.8,3.29,0.53,9.3,1
0.26,2.0,3.26,0.52,9.9,1
0.29,1.8,3.1,0.38,10.2,0
0.48,4.6,3.34,0.79,12.2,1
0.38,3.5,3.22,0.41,11.6,0
0.23,2.1,3.36,0.7,10.9,1
0.27,15.5,3.19,0.44,13.0,0
0.31,2.8,3.11,0.92,10.0,1
0.58,2.1,3.31,0.88,10.5,1
0.3,2.0,3.33,0.46,11.9,1
0.15,1.8,3.19,0.5,9.5,1
0.32,2.0,3.23,0.73,11.3,1
0.29,4.1,3.0,0.32,12.8,0
0.47,7.85,3.52,0.43,11.5,0
0.17,2.0,3.29,0.61,9.2,1
0.22,2.4,3.37,0.58,11.0,1
0.49,1.2,3.06,0.46,11.0,0
0.27,2.0,3.26,0.58,9.8,1
0.34,2.2,3.28,0.66,12.4,1
0.01,2.4,3.55,0.61,12.8,1
0.55,2.8,3.32,0.92,10.8,1
0.35,0.9,3.13,0.38,10.5,0
0.01,1.9,3.4,0.73,9.7,1
0.26,12.1,3.16,0.37,10.8,0
0.36,1.8,3.65,0.89,12.0,0
0.18,1.4,3.32,0.35,10.2,0
0.25,2.0,3.34,0.6,10.4,1
0.33,1.1,3.35,0.43,11.4,0
0.04,2.5,3.53,0.55,9.5,1
0.32,2.5,3.22,1.07,9.7,1
0.35,6.1,2.79,0.52,10.9,0
0.42,2.0,3.39,0.66,11.6,1
0.58,16.75,3.15,0.54,9.2,0
0.3,13.7,2.9,0.44,8.7,0
0.3,1.9,3.32,0.71,10.5,1
0.05,1.5,3.21,0.56,9.2,0
0.59,2.2,3.04,1.05,9.4,1
0.39,1.5,3.21,0.52,9.3,0
0.26,10.05,3.33,0.5,11.2,0
0.34,1.6,3.3,0.49,9.5,0
0.36,2.2,3.41,0.82,11.9,0
0.25,10.6,3.31,0.34,10.1,0
0.08,2.6,3.22,0.37,13.0,1
0.24,17.8,3.1,0.45,8.9,0
0.41,1.5,3.29,0.71,11.0,1
0.35,1.0,3.16,0.37,11.7,0
0.66,2.4,3.2,0.53,11.9,1
0.51,1.7,3.2,0.89,9.4,1
0.66,2.5,3.05,0.56,10.0,1
0.25,1.4,3.08,0.43,13.2,0
0.32,9.0,3.34,0.35,12.6,0
0.7,2.2,3.08,0.53,9.0,1
0.38,14.3,3.09,0.44,9.0,0
0.19,4.0,3.22,0.5,10.0,1
0.7,1.9,3.13,1.28,9.4,1
0.39,7.8,3.31,0.51,9.5,0
0.07,1.4,3.32,0.81,9.6,1
0.33,1.7,3.23,1.1,10.0,1
0.41,14.2,3.28,0.72,10.3,0
0.4,2.8,3.31,0.79,11.8,1
0.13,2.5,3.39,0.61,9.4,1
0.34,15.4,3.03,0.42,9.0,0
0.24,12.1,3.05,0.5,9.5,0
0.47,2.5,3.15,0.5,10.5,1
0.26,2.0,3.16,0.47,11.8,0
0.03,1.5,3.66,0.62,10.1,1
0.51,2.2,3.03,0.93,9.8,1
0.12,1.7,3.16,0.49,9.4,1
0.07,1.8,3.3,0.58,9.6,1
0.91,8.2,3.39,0.49,11.7,0
0.14,3.0,3.32,0.57,10.5,1
0.2,14.9,3.13,0.45,9.0,0
0.0,1.6,3.33,0.37,10.4,1
0.32,2.7,3.45,0.62,9.5,1
0.51,4.0,3.28,0.97,10.1,1
0.41,12.9,3.24,0.78,10.2,0
0.05,1.9,3.52,0.78,10.6,1
0.39,8.9,3.06,0.38,12.0,0
0.0,1.9,3.46,0.65,9.2,1
0.33,1.2,3.18,0.6,10.5,0
0.28,2.4,3.26,0.39,11.7,1
0.34,1.4,3.18,0.7,11.7,0
0.01,2.3,3.4,0.61,10.9,1
0.29,2.0,2.93,1.98,9.8,1
0.44,3.6,3.12,0.82,9.3,1
0.39,15.5,3.12,0.66,9.2,1
0.49,6.8,3.19,0.47,9.3,0
0.25,13.4,3.33,0.54,10.3,1
0.0,1.7,3.41,0.47,10.3,1
0.43,15.0,3.28,0.79,8.8,0
0.38,2.2,3.25,0.4,11.1,0
0.49,2.2,3.19,0.44,9.6,1
0.14,2.5,3.34,0.64,10.5,1
0.13,1.3,3.26,0.38,10.7,0
0.24,2.3,3.25,0.53,10.2,1
0.56,1.9,3.16,0.58,9.8,1
0.0,1.2,3.32,0.51,9.8,1
0.0,5.6,3.46,0.72,10.2,1
0.41,1.3,3.28,0.45,10.3,0
0.56,16.45,3.1,0.51,9.3,0
0.1,1.7,3.41,0.67,9.7,1
0.34,2.7,2.97,0.53,11.0,0
0.02,11.1,3.75,0.44,12.4,0
0.28,5.0,3.22,0.69,9.5,0
0.54,2.5,3.28,0.82,9.6,1
0.44,8.9,3.1,0.48,9.6,0
0.27,1.55,3.37,0.4,11.9,0
0.52,1.8,3.28,0.77,11.5,1
0.52,1.7,3.25,0.59,10.4,0
0.24,8.5,3.2,0.52,9.2,0
0.02,1.2,3.2,0.58,9.8,1
0.24,2.85,3.1,0.53,9.2,1
0.49,2.2,3.14,0.51,9.8,1
0.3,1.8,2.99,0.45,10.8,0
0.25,11.2,3.14,0.4,9.5,0
0.01,2.1,3.52,0.56,11.4,1
0.49,16.8,3.03,0.52,9.2,0
0.82,1.3,2.93,0.42,9.2,0
0.14,2.2,3.44,0.65,11.1,1
0.68,12.9,3.05,0.41,8.7,0
0.27,1.9,3.64,0.54,10.0,0
0.26,13.2,3.25,0.46,9.0,0
0.14,2.4,3.19,0.59,9.5,1
0.26,2.2,3.55,0.49,13.0,0
0.45,2.0,3.22,0.76,11.4,1
0.24,4.9,3.03,0.46,8.6,0
0.34,1.2,3.24,0.39,10.6,0
0.45,10.6,3.22,0.59,9.5,0
